タイトル,レビュー,カテゴリー,星数,参考になった数
軽くて風が気持ちいい,"軽くて風が気持ちいい
初めて買ったのですが
首から顔にかけて涼しくて
気持ちいい。
買って良かったです。
",1,4.0,2
他機種も購入したけど,"他機種も購入したけど
同時に、同様な品物、機種は異なりますが、こちらの方が風量は弱でも強い気がしました。
充電の持ちも一度のフル充電で往復３時間強通勤時間
充分持ちます。
","1,2,4",4.0,3
付ける方向分かりづらい,"付ける方向分かりづらい
このタイプ初めて利用したけど向きがわからなかった",4,3.0,0
まぁまぁかな？,"まぁまぁかな？
ただ先端にファンがついてるだけのものとは違いますが
値段相応といったところでしょうか。
","1,2,3",4.0,5
電気の消費時間は？,"電気の消費時間は？
羽なしなので巻き込みがないですが、二段階目の風量で初日は８時間も持たないうちに電源が切れてしまった。
これから何日か試してみようと思います。
","1,4",4.0,3
まあまあの商品でした,"まあまあの商品でした
もう少し風量が有ると思いました。
",1,4.0,6
涼しくない,"涼しくない
涼しくありません。
多分、この商品のせいではなく、今年の夏が暑すぎるのかと思います。
春や秋の少し暑いかなぁという時には最適だと思います。
少し音が大きいかなぁ。","1,4",3.0,0
タイムセール半額,"タイムセール半額
半額なので２つ購入。他の製品と比べてないから解りませんが、首での安定性に欠けるかなって思います。冷感プレートが重いのか、回ってしまって、それを一々戻すのが面倒。それ以外はそれなりに良い商品かと思います。
","1,3",4.0,6
いい感じで！,"いい感じで！
少し重たいですけど〜髪を乾かすときなど重宝してます！
コスパもよく購入してよかったです！
","1,3,4",4.0,2
使ったら,"使ったら
使ったら良かったです
ありがとうございました。
",5,4.0,1
いいんだけど…,"いいんだけど…
風が当たるのはありがたいけど、角度をつけたいです。このままだと耳に風が当たる感じで気持ち内側に向いてくれたら最高！
あとプレートが冷たくない。
",1,4.0,4
良い,"良い
暑い中外で使えば熱風だがないよりはマシ。
室内で使う分には良し
",4,4.0,2
涼感プレートはただのアルミプレート,"涼感プレートはただのアルミプレート
これは、電気的に冷えるものではないので、誤解して買ってしまった‼️全く冷えません☀️
返品を申し出るとスムースに対応戴けました。
",1,4.0,3
とても軽いし静か,"とても軽いし静か
とても静かで買って良かったです。
追加で家族分も購入しました。
予想より軽いし静かです。
夏のキャンプに持って行きます。
",1,4.0,4
コスパいいと思います！,"コスパいいと思います！
お手頃価格で購入させていただきました。
音が少し気になりますが、この暑さで気持ち良い風を感じられるのであれば音も我慢できます。
お得で良いお買い物ができました。
","1,3",4.0,2
買って良かった,"買って良かった
買って良かったですが後ろの冷たくなる所に髪が引っかかるので、そこだけマイナス後は問題無く便利に使用してます。
",1,4.0,3
涼感プレートは冷たくなるわけではありません。,"涼感プレートは冷たくなるわけではありません。
映画館で扇子で煽いでいると「扇ぐのやめてください」と言う人がいるので映画館でも使える静音のネッククーラーファンを探してこれを購入してみました。１段階だと自分自身はうるさ目に感じますが、外して外側からの音はかなり静かなので映画館でも使えると思いました。首の中央部分に当たる部分が金属でできているので、冷たくなるのかと思ったら、ただの金属プレートで冷たくなる機能はありません。説明書にはヒートシンクとの記載。扇子は無音なんでいいとおもうんですけどねぇ…控えめに扇いでいるだけで劇場自体も団扇配ったりするのに映画見ないで周囲を見回している監視人がいる昨今メンドクサイ人間が多いです。
","1,4",4.0,2
角度調整ができると良い,"角度調整ができると良い
人間工学に基づいてベストな角度で設計されているようですが、体の形状は人によって異なるので、ある程度角度調整ができる機能があれば良いと思いました。",1,3.0,0
そこそこ冷えます。,"そこそこ冷えます。
そこそこいい具合に風が当たるので、首から顔にかけての冷却には使えそうです。

ただ、それっぽく付いている鉄のプレートはベルチェ素子のような冷却機能はなく、あくまでも首筋用のただの携帯ファンです。",1,3.0,0
迅速な対応,"迅速な対応
今回届いた商品は残念ながら片方しか作動がしないという欠陥商品でした。しかしメッセージを送るとすぐに対応していだだき、今新しい商品が届くのを待っている状況です。
片方の作動だけでしたが試してみてとても風も涼しく首にまだ当てていないので音ははっきりは言えませんが、するにはしますがあまり気にならないように感じました
今回欠陥商品でしたがすぐに対応していただき、4日ほどで手元に届くとのことなので星は4でつけました
","1,6,7",4.0,3
顔は涼しい,"顔は涼しい
静かで顔には風が良く当たります。
首の冷感プレートが冷たくなるとかと思ったらただのプレートなので無くても良いのでは？
",1,3.0,0
購入した甲斐が無かった。,"購入した甲斐が無かった。
辛口評価です。
⭐️を3にしたが実質的には⭐️1〜2かな？
本来の目的が厚さ対策なのだが効果は？？？
金属のプレート部分は単なる飾り、冷却効果は無い。強いて言えばプラスチックが当たっているよりは快適なのかな？
①本来の使い方とは違うが、室内の様な涼しいところで使えば風力1で多少快適に感じる、風力2で快適、風力3で効果は上がるが2以上の風力では音がうるさくなり涼しさはあるが音が不快。
②室外
1、日陰なら風邪を感じるが快適とはほど遠い、そして風力1は役に立たない。風力2で風を感じるが気温が高いと快適とは言えない、風力3でも同様で風を感じるが音がうるさい。
2、陽が当たっているところでは効果はほぼない。風力3にして生ぬるい風を感じるがうるさいだけでかえって後ろの首に当たっているところが鬱陶しいだけだった。
自然の風が吹いたら首元からの風は感じ難い。
既存では使う場所を選ばなければならないので使用に躊躇する。音は素材の問題もあると思うので、それが解消出来れば使いやすくなるかな？","1,4",3.0,0
日々の移動に利用,"日々の移動に利用
活用するのとしていないでは大違いですね。バッテリーの持ちも思っていたよりもいいですね。洗濯ものの取入れ、食事の準備等に着けていますので、大いに助かります。個人差と思われますが、私にはちょこっと気になる音です。","1,4",4.0,0
首かけ扇風機,"首かけ扇風機
思っていたより、涼しさが弱かった。重さわ感じないくらい軽い",1,3.0,0
冷感プレートは全く冷たくならない,"冷感プレートは全く冷たくならない
冷感プレートは全く冷たくならないです。説明書きをよく読めば良かった。
",1,4.0,4
金額以上にいいかも,"金額以上にいいかも
他商品と比べて安かったけど、レビューもいいので？セールで購入しました。
ちょっと大きいかなと思ったけど、
見た目より重さは気にならなかったです。
最大にしても、音はそんなに気にならない。

まだ外で利用していませんが楽しみです
","1,2,3",4.0,3
風力が強く満足です。,"風力が強く満足です。
肩こりの私には、ありがたい軽さです。お風呂上がりや、食事の支度など手放せません。体にフィットして安定感があります。風力が強くて満足ですが、その分、風の音が多少強いです。
","1,4",4.0,2
充電早い、バッテリー長い,"充電早い、バッテリー長い
ちょっと前にAmazon購入の同じタイプと比べて、バッテリー長持ちで、充電終了も早く、暑がりの私には助かっています。冷却部分は冷たい感触はありません、ちょっと前のは、良くずれて風が当たらないことありですが、とてもフィット感あり、ただし猛暑の折外では強目でないと、風感じません。
予備で購入でしたが、前のはお蔵入りになりそうです。
","1,2,4",4.0,2
凄い軽量,"凄い軽量
軽量で使いやすい😊",1,4.0,0
残り時間がわかるのが良い‼︎,"残り時間がわかるのが良い‼︎
とても軽く、思っていたより風量もありました。残りどれくらい使用出来るか◯%で表示されるのが、とても気に入りました。首のプレートはあまり効果感じませんでした。首の太さなどにもよるのかな？ひとまず長時間使用できますし、お値段も安かったので、購入してみて良かったです。","1,3",4.0,0
外で使うのが楽しみ,"外で使うのが楽しみ
予定より早い配送助かりました。
まだ、外では使用していませんが室内でも起動音はそこまで気になりませんでした。
","1,7",4.0,1
思ったより,"思ったより
涼しさは感じないかな
手持ちしない分は楽だけど
ホントに暑い時にはあまりしてても汗も止まらないし
",1,4.0,5
充電長持ちで良き,"充電長持ちで良き
風量1でしかほとんど使用しませんが充電は1日もつしじゅうぶんです。風量MAXは風音もうるさいしあまり使いません。
※汗ふきシートなどで耳周りを拭いておくと、風でめっちゃ涼しくなるのでおすすめです。
冷却プレートは直ぐに自分の体温でアチチになるので、気休めです笑
あと2cmくらい後ろまで風口があれば最高でした。結局首の後ろが滝の汗。
髪の毛が巻き込まれる事は無いですが、当たるとチリチリ言うのが少し不安になります。
","1,4",4.0,3
タダの扇風機。,"タダの扇風機。
弱①煩い…MAX③煩いだけで風力は弱い…日中表では外気温の温風しか出ない…日陰でも温風…大柄な方には向かない…首が太い方には不向き…冷房がきいてる部屋では涼しさを感じれる…電車内や店舗ではファンの音が気になる…評価やコメントは信じない方がいい…化粧箱に開けたような跡がある…","1,4",3.0,0
そんなに重くない,"そんなに重くない
少しゴツイかなと思いましたが、思った程ではなく軽い。風量は3で風を感じるかな。風量3の音はそこそこ聞こえる感じ。まぁこの値段なら十分満足かな…
","1,3",4.0,1
コスパいいですね,"コスパいいですね
このタイプの扇風機に興味あって購入しましたが、なかなかいい感じで風が吹いてくれますね。
釣りに使えます。
あとは耐久性だけですが、まだ少ししか使ってないですが違和感は思ってたよりは無いですね。
","1,4",4.0,2
あると便利だが。,"あると便利だが。
正直言うと充電の持ちが弱いのが難点。
風量2or3で使用しているので、2,3時間しか持たなくて使わない時はいつも充電差しっぱなし。
充電しながらでも使用出来る仕様にして欲しかったかな。
","1,4",4.0,6
値段の割に良い商品だと思います！,"値段の割に良い商品だと思います！
このような首かけ式のファンははじめて購入したので半信半疑でしたが、値段の割には良い働き和してると思います！
風量は弱、中、強に切り替えも出来るので、そのときに応じて切り替えれば良いと思います！
風音は風量が強くなるにつれ大きくはなりますが、煩いほどではないです！

ただ…基本的な熱中症対策は必要ですが、酷暑の昼前にこちらをつけて庭仕事をしましたが、顔に風が当たってることで顔には汗をかきませんでした！
","1,3,4",4.0,3
使いやすく,"使いやすく
少し音が大きい
",1,4.0,5
値段だけある。,"値段だけある。
これは風量 電池持ちともに値段高いだけあります。
結構風量あります。
炎天下でどれだけ涼しいか？ 無いよりまし程度ですが 風量はあります。
電池持ちもいいです。
ネックのひんやり金属部は まったく効果ありません。","1,3,4",5.0,0
よかった,"よかった
冷却プレートはただのプレートでしたが、手ぶらで使えて風量も文句なし。この猛暑で活躍しました！",1,5.0,0
バッテリーの持続時間は半分くらいでした,"バッテリーの持続時間は半分くらいでした
2段階8時間と謳ってますが、4時間程しか持ちませんでした。
風量はあまり強くはありません、屋外で少し風があれば効果は薄いです。
動くとズリ落ちますので、工夫がひつようです。
個人的に半屋内、エアコンなし、軽作業といった仕事があったのでので役に立ちました。
(せめて6時間は持って欲しかった)
音は少し気になる程度。
2段階で使用していたのですが、汗が引いたら涼しく無い為、音が気になってoffにしたくなる感じです。
","1,4",3.0,1
ペルチェ素子かと思ったら違った,"ペルチェ素子かと思ったら違った
ただの首掛け扇風機だった","1,2",3.0,0
値段相応,"値段相応
静音という割には、音が大きい…というより、利用者の首から耳の距離では、耳障りな音
周囲にとっては、静音ということでしょうか

冷却プレートとファンは、同時稼働なので、充電消費量は多めと思っていいです
プレートのみの切替できれば、＋⭐でしたが、冷却プレートは広めだけど、冷えるまでやや時間かかりますね

アーム調整はできず、首が太い方には広がるという程度…バネ的な感じですね
しかも折り畳み出来ないから、値段相応ですね
","1,3",3.0,1
やや大きいけど、長持ち,"やや大きいけど、長持ち
実物は想像していたより大きく、使ってない時に持ち運ぶのは嵩張ります。角度を調整と書いてありましたが、ほとんど調整はできない感じがしました。
また、首の後ろのプレートは炎天下では役に立ちませんでした。

今回は終日の炎天下でのイベント用に購入したのですが、とても助かりました。2の風量でしようとしていたのですが、長時間バッテリーが持ってくれて暑さを凌ぐ事ができました。

子供にはサイズが大きすぎたので、子供用にもっとコンパクトに畳めるファンを購入したのですが、それはすぐにバッテリーが切れてしまいました。

形状や持ち運びにくさでマイナス1ですが、外出時はバッテリーが長持ちする事が重要なので、満足しています。
","1,4",4.0,6
首の後ろのプレートは,"首の後ろのプレートは
首の後ろのプレートは飾りです。冷たくなることは無いです、ペルチェ素子は入ってません。風はそこそこでます。",1,3.0,0
プレートに注意！,"プレートに注意！
首元のプレートは暑い日にプレート部分に日光が当たると火傷するかと思った位熱くなる。両手がふさがらない所はいいけど、少し音は気になるのと、外での使用だとそんなに涼しく感じないです。無風よりはいいかなってかんじです。",1,3.0,0
風量がちょうどいい,"風量がちょうどいい
風量を3段階に変えられ、生活シーンに合わせて使用できるのが良い
風量を強にすると風の音が気になるほどの強さ、弱にすると周りの音が聞こえる静音で屋内でも使える
コスパの良い商品だと思います
",1,4.0,1
失敗,"失敗
「ネックファン　冷却プレート」で検索している内に海の物とも山の物ともわからないので最初は安いの買ってみるかと思い出したら本品がヒット。3日後のゴルフで使いたかったので思わずポチってしまいました。

ペルチェ素子の効果を体感したかったのですが、「冷感」ではなく「涼感」とある本品はステンレス板を貼り付けてあるだけでした。肌に当てて数秒は「涼感」を感じる事ができます。

今まで2、3個買ってきた中では重量は軽いと思います。
ただ、風量は少なく3でようやく酷暑の野外で使える風量、他の機種の2程度の風量です。

今回は自分が望んだ商品ではなかったですが、いつものように「穴が空くように」説明文を読む必要性を改めて教訓とする事ができました・・・。

","1,2,4",3.0,1
少し重たい,"少し重たい
首の所の冷却が、私の短い髪の毛に引っかかり
痛い思いを何度もしました。
音は静かだと思いますが、猛暑日にはあまり効果を感じないのと、思ったより重たい！",1,3.0,0
それなりでした,"それなりでした
基本扇風機なので、外気温が高ければ温かい風に成ります。",1,3.0,0
毎日使ってます,"毎日使ってます
冷感プレートは機械的に冷えるものと思ってましたが、どうもただの金属が有るだけみたいです。期待以上には、冷えないです。無いよりマシなので毎日使ってます!",1,3.0,0
長時間の連続使用可能、3段階の風量,"長時間の連続使用可能、3段階の風量
首のところがあまり冷たく無いのと、風の出る穴をもう少し上まであれば良かったと思う商品
",1,3.0,1
風が出る所が少ない,"風が出る所が少ない
歩きながら使うとあまり涼しくなく、脇だけなので少し期待とはちがいました。","1,4",3.0,0
残念,"残念
ありがとうございました。
",5,4.0,2
価格に伴ってそれなりです。,"価格に伴ってそれなりです。
初のネッククーラー。使用３日での感想。
子供が髪の毛巻き込まないような形状のモノでリーズナブルなモノという事で本品をセレクト。
リーズナブルなモノと割り切っているので、不満はそれほど無いです。
冷却プレートは冷たくないです。むしろ熱くなってるんじゃないか？と思うくらい。
顔に直接当たらないタイプです。それがイイのかわかりません。
最近は暑すぎるので風が無いよりイイっていうところです。
外で使用する際はずっと風量3で使用してます。充電切れるほどの継続使用はないですが、電池残量見るとまだまだあるので帰宅後充電すれば翌日の使用時間に不安や不満はないです。
同僚に試させたら、風量1でもうるさいと言っていました。
価格からして静音は期待してないので、そういう部分も含めて値段なりの商品です。","1,3,4",3.0,0
涼しい,"涼しい
首にかけた時、前部分真ん中の部分が広がっているのでもう少し収縮したりすると、尚涼しいだろうな〜と思います",1,4.0,0
涼しくはあったけど…,"涼しくはあったけど…
注文してからすぐに届いたので助かりました。
畑仕事の時に使う為に購入したのに、涼感プレートは全然冷たく感じないし、暖かい風がくるしでガッカリでした。
家の中での使用は普通に涼しかったので、火を使う台所等では良かったと思いました。
その後、親切丁寧に説明・対応していただき大変良かったです。
","1,4,7",4.0,2
ままですかね,"ままですかね
全体には満足ですが「涼感プレート」が冷えると思いましたが、ほぼカモフラージュですかね！
それ以外は問題ありません。
",1,4.0,4
簡易的に,"簡易的に
思っていたほど涼しくなかった。
クールダウンの補足に",1,3.0,0
とっても良い,"とっても良い
風力あり、以前使っていたものより良いです",1,5.0,0
まあまあ,"まあまあ
長持ちするか、解らんが",5,3.0,0
プレートがイマイチ,"プレートがイマイチ
プレートがもっと冷たくなれば、良かったかなと。
風量はそこそこ",1,3.0,0
涼しいけど,"涼しいけど
思ったほどではないですね。特に首裏の金属部分は何のためにあるのか？
電車に乗ってエアコンがある中で使うと気持ち良いです。価格を考えるとOKだと思います。","1,3,4",3.0,0
満足,"満足
バッテリーの残量がわかりやすく便利。
重さ等は私はきにならないです。
風向きの調整が出来ないので、その点が減点ですかね。
",1,4.0,2
手持ち要らず,"手持ち要らず
ファンの吹出口が横なので顔にはあたってますけど　内側の丸いところからも風の吹出してくれたらより涼しいかと！改善の余地有るのでは?
",1,4.0,4
商品,"商品
前回違う少し安い物を買い今回購入した物と比較してみた所、1〜3段階風力確認したら今回の方は音は静かかな、風力は安いがもうひとつの方が強い。
重量は今回の方が軽いのでその辺は購入して良かったです。","1,2,3",3.0,0
シンプル,"シンプル
ワンルームで一人暮らしの方にはちょうど良いと思う。電子レンジと冷蔵庫セットでこの価格なら何の文句もない。","3,4",4.0,0
満足！,"満足！
余り料理をしない一人暮らしには、ちょうど良い大きさ！
冷却性もgood！","1,4",4.0,0
自分の部屋に,"自分の部屋に
あまりにも暑いので、家族分とは別に自分の小型冷蔵庫を持とうと決心。主にお茶やドリンク、作り置きのおかずやデザート用。
この夏、買っておいてよかったもの第1位です。
音が全くしないわけではないけど、かといって気にするほどでもないです。
冷凍庫はキンキンに冷えるのに対して、冷蔵庫の冷え方がマイルドなのがちょっと気になるぐらい。
","1,4",4.0,0
保冷温度,"保冷温度
冷蔵部の保冷温度をもう少し低くできればいいかなと。真夏ではドリンクがキンキンに冷えない印象。",1,4.0,0
なかなか良い,"なかなか良い
寝室に置いておくのに丁度良いサイズ
",4,4.0,2
一人暮らしには十分,"一人暮らしには十分
シックで可愛い見た目。氷命の私には　小さい製氷皿も気に入りました😊野菜庫もあるし
オシャレだし　丁度良くキッチンに収まってくれてるところが満足です❤️
",1,4.0,2
程よい大きさ,"程よい大きさ
ワンルームには程よい大きさです。
ただ温度の調整がだいぶ大まかにしか効かないため
そこだけが難点ですが、普通に冷やしておく冷蔵庫としては充分だと思いました。

容量もそこそこあります
","1,4",4.0,1
事務所に便利,"事務所に便利
1人暮らしや、セカンドハウスに便利です",4,5.0,0
お手ごろ価格で過不足ない性能,"お手ごろ価格で過不足ない性能
2万円を切るお手ごろ価格。
たまに訪れる別宅で、在室時だけ電源を入れる、という使い方には十分の性能。
継続してつかいつづけるには、さすがに小さくてパワー不足だけど。","1,3,4",4.0,0
十分な大きさで、静か,"十分な大きさで、静か
寝室に置いてますが、音も静かで、。アイスやドリンクを入れています。が
じゅうぶんな大きさです。","1,4",4.0,0
2日経ってからきいてくる,"2日経ってからきいてくる
2日目から良好",5,4.0,0
一人暮らしの人や職場などに最適。,"一人暮らしの人や職場などに最適。
一人用としてはちょうど手頃な大きさで、冷凍室も含め収容量が大きいです。音も静か。","1,4",5.0,0
追加で,"追加で
最初に買った冷蔵庫には収まらなくなってきたので追加で買いました。とても使いやすいです。霜が気になるくらいです。
役に立った
","1,2",5.0,0
コスパ良し,"コスパ良し
見たことないメーカーだけど、機能もデザインも、お値段以上だと思います。","1,3",5.0,0
丁度よい,"丁度よい
学生の一人暮らし ワンルームへ置くために。
丁度良かったとの事です。",4,5.0,0
ふつう,"ふつう
普通に良い 霜取りが必要",1,5.0,0
一人用に良い,"一人用に良い
一人暮らしに良い。静か。耐久性はこれからで判らない。安い。","1,3,4",5.0,0
ちょうどいい,"ちょうどいい
ちょうど欲しいと思っていたサイズです。寮生活にはちょうどいい。","1,4",5.0,0
冷凍庫、バッチリ！,"冷凍庫、バッチリ！
冷蔵庫も、バッチリ！
小さくても、ちゃんと冷えて、
とても助かります！",1,5.0,0
なかなか良い,"なかなか良い
アイスを入れたく分離されてる冷蔵庫購入　一人暮らしには良い",4,5.0,0
。,"。
小さく見えても、一人暮らしには充分ですね","1,4",5.0,0
なかなか良い,"なかなか良い
寝室に置いておくのに丁度良いサイズ
","1,4",4.0,2
とても気に入りました。,"とても気に入りました。
狭い場所にもよく合いました","1,4",5.0,0
快適な実用性,"快適な実用性
外見デザインの良さ。ツードアにおける冷凍庫、そして冷蔵庫内の構造と、ドアポケットのバランスの適合性が洗練されていて、使っていて気持ちいい。温度設定も見やすく簡単でストレスを感じさせない。COMFEE'はこれが三機種目。信頼性とコストパフォーマンスはとにかくいい。感謝
","1,3",5.0,1
○,"○
冷凍　冷蔵　言うこと無し。
独り暮らしには良いサイズ。","1,4",3.0,0
思ったより静か。,"思ったより静か。
エアコンの方が音がする。寝室用2台目にしては十分。
","1,4",4.0,1
良いです,"良いです
コスパも良いです。
",3,4.0,1
製品が翌日届き良かったです,"製品が翌日届き良かったです
10年目に冷凍庫が壊れて早速Amazon検索して決定すると翌日届き良かったです。冷凍庫は欠かせない家庭電化製品なので、とりあえずストックするには良い製品です。
",7,4.0,5
一人暮らしにピッタリ！,"一人暮らしにピッタリ！
大きさ、値段、容量等一人暮らしにピッタリです","1,3,4",5.0,0
Nice,"Nice
So nice",5,5.0,0
良かったです。,"良かったです。
思ってたより大きめで良かったです。冷凍も冷蔵もバッチリです！配送も早かったです！
","1,7",4.0,4
収納,"収納
上手く収納が出来ません。安いからしょうがないか","1,3",3.0,0
プレゼント,"プレゼント
父の日にプレゼントしました。
喜んでもらえました
",4,4.0,4
購入する際の相性というものがあって、Amazonで買いました,"購入する際の相性というものがあって、Amazonで買いました
値段相応なのではないかと思います。ヤマト運輸配達員の方も、置き配というより、念のためなのかインターフォンをならして「ここに置いておきますからね」と声をかけてくださいまして、一時が万事、順調に所定の位置に置いて使うことができました。配達時の製品破損などのトラブルが心配だったんです。以前のは、そうだったんです。
天板縁側が、やや薄ペラいというか軟いというのか、天板の端っこに力をかけたらバキッといきそうです。ちなみに天板上には、電子レンジなど物を置けるようになってます。音が静かというのも、24時間の中に数回周期的にモーター音がします。霜取りヘラと製氷皿が、冷凍庫に入ってます。年間電力消費、料金で年間¥5000〜6000のようなので、経済的にも納得しました。充分、満足してます。針の先で突っついたようなキズを見つけましたが、たぶん几帳面で神経質なユーザーさんが返品してから、それであらたにお買い得新品在庫になったのかな？と、想像しました。以前の一人暮らし用冷蔵庫は、なんだかんだといいながら10年以上保ちました。がんばれ冷蔵庫！
","1,3,4,6,7",4.0,10
静かでちゃんと冷える,"静かでちゃんと冷える
昨年５月に大型冷蔵庫が壊れて、今は一人暮らしなので、同じような大型を買うか小さい冷蔵庫にするか、１年以上冷蔵庫なしの生活をしてきましたが、とうとう必要だと思い、レビューを参考にこちらを購入しました。
小さいながら、音も静かで冷蔵庫の有り難さを噛み締めてします。とても良い商品です。
","1,4",4.0,6
良く冷える,"良く冷える
思ってたよりも冷凍室も良く冷える感じです。コスパ最高な冷蔵庫です。
耐久力は使う年月でしか判断できませんが現時点では良い感じです。
","1,3",4.0,6
