タイトル,レビュー,カテゴリー,星数,参考になった数,生成元ID
　,"　
冷蔵庫に触れるのが不安でしたが、ダンボールから出した後、本体に触れたら静電気がきました。商品の性能は良いと思いますが、内部の部品には工場の傷が目立ち、気にする人には気になるでしょう。さらに、シールが斜めに貼られていることもあり、大量生産の影響だろうとは思いますが。","1,6",2.5,0,145
　,"　
この冷蔵庫は触るのが怖いと感じました。ダンボールから取り出して本体に触れたら、静電気にやられてしまいました。機能的には優れていると思いますが、冷蔵庫内部の部品には工場でのキズがあり、気になる方には気に障るかもしれません。また、シールが斜めに貼られているのも、大量生産の結果だと理解しています。","1,6",2.5,0,145
　,"　
性能に満足しており、コストパフォーマンスが良いです。私室用に購入したのですが、付属の氷ストッカーと冷凍室棚が意外にも役立っています。一人の時間を楽しむために氷を貯めています。扉に小さな縦傷があったのが気になりましたが、性能には影響がなかったので、逆にその傷に愛着を持つことにしました。","1,3,4,6",2.5,0,153
　,"　
私室用に購入したこの商品は、コスパが良く、性能にも満足しています。意外と嬉しい付属品として、氷のストッカーと冷凍室棚があります。氷を貯めて、一人での時間を楽しんでいます。ただ、扉に小さな縦傷があったのが少し気になりましたが、性能には問題がなかったので、逆にその傷を愛着に変えることにしました。","1,3,4,6",2.5,0,153
　,"　
コストパフォーマンスが素晴らしく、性能にも満足です。私室用に購入したのですが、付属の氷ストッカーと冷凍室棚が思いのほか役立っています。氷をためて、一人の時間を楽しんでいます。扉に小さな縦傷があり気になりましたが、性能に問題はなかったので、その傷を愛着として受け入れることにしました。","1,3,4,6",2.5,0,153
　,"　
私室用に購入したこの商品は、コスパが良く、性能にも満足しています。付属品の氷ストッカーと冷凍室棚は期待以上で、一人の時間を楽しむために氷を貯めています。扉に小さな縦傷があったことが少し気になりましたが、性能には影響がなかったので、その傷に愛着を感じることにしました。","1,3,4,6",2.5,0,153
　,"　
思ったよりもたくさん入ることに驚きました。息子の引っ越しの際にこの冷蔵庫を注文したのですが、キッチンに置くスペースがなかったため、居住空間に置くことになりました。小型の冷蔵庫を探していたので、サイズ感もぴったりでした。届いたときは、梱包が非常にしっかりしていて開封に手間取りましたが、傷一つなくきれいで、背の高さも理想的でした。大学生の息子は「これくらいがちょうどいい」と言っており、価格も手頃で冷凍庫の容量も予想以上に入るので、満足しています。","1,3,4,6",2.5,0,159
　,"　
予想以上に物が入ることに驚きました。息子の引っ越し時にこの小さな冷蔵庫を注文したのですが、キッチンのスペースが足りず居住空間に置くことになりました。サイズも理想的で、梱包が非常に堅牢だったため開封には苦労しましたが、傷一つなく美しい状態でした。息子は大学生で、「これくらいが自分にはちょうどいい」と言っていて、価格もお手頃で冷凍庫の収納力にも満足しています。","1,3,4,6",2.5,0,159
　,"　
意外とたくさんのものが入るのに驚きました。息子の引っ越しの際に注文した冷蔵庫ですが、キッチンに置くスペースがなかったため、居住スペースに置くことになりました。コンパクトで場所を取らないサイズ感も良く、届いたときの梱包は非常にしっかりしていて、開けるのが大変でしたが、傷が一切なくきれいでした。大学で一人暮らしをしている息子は「これくらいで十分」と言っており、値段も安く、冷凍庫も思った以上に物が入るので満足しています。","1,3,4,6",2.5,0,159
　,"　
思っていた以上にたくさん収納できることに驚きました。息子の引っ越し用にこの冷蔵庫を注文したのですが、キッチンに置くスペースがなかったため、居住スペースに設置することにしました。サイズもぴったりで、届いたときは梱包がとても頑丈だったため開封に手間がかかりましたが、傷一つなく綺麗な状態でした。大学生の息子は「これがちょうどいい」と言っていて、値段もお手頃で冷凍庫の収納力も想像以上だったので、大変満足しています。","1,3,4,6",2.5,0,159
　,"　
商品説明に従った素晴らしい商品でした。発送も迅速で、丁寧な梱包に安心感がありました。また機会があれば、ぜひ購入したいと思います。ありがとうございました。","6,7",2.5,0,169
　,"　
とても良い商品で、商品説明通りでした。安心できる丁寧な梱包と早い発送に満足しました。次回も機会があれば購入したいです。感謝しています。","6,7",2.5,0,169
　,"　
商品は説明通りに素晴らしいものでした。梱包は丁寧で、発送も迅速だったため、安心して受け取ることができました。次回もぜひ購入したいと思います。ありがとうございました。","6,7",2.5,0,169
　,"　
最高の商品で、商品説明に見合ったものでした。発送が早く、丁寧な梱包に安心感を覚えました。また機会があれば、ぜひ再度購入させていただきたいです。ありがとうございました。","6,7",2.5,0,169
　,"　
傷があったが、機能面には問題はなかった。ただ、商品自体の外観が気になるところだ。",6,2.5,0,182
　,"　
傷が見受けられたが、性能には全く問題がない。ただし、外装については少し心配だ。",6,2.5,0,182
　,"　
外装に傷がついていたが、機能には支障がなかった。しかし、商品の見た目が気になる。",6,2.5,0,182
　,"　
機能自体には問題はなかったものの、傷があったのが残念だ。外観にも注意が必要だと思う。",6,2.5,0,182
　,"　
製品については満足しています。配送が迅速で、注文の翌日に商品が届きました。ただ、写真で見た通り、蓋にひびが入っていたので、すぐに交換手続きを行いましたが、交換品もすぐに対応してくれ、翌日には届きました。使用感も良好で、濃さを調整しながら、ブラックコーヒーやカフェラテなど多様なコーヒーを楽しむことができます。","1,4,6,7",2.5,0,193
　,"　
私はこの製品がとても良いと思っています。配送は早く、翌日に届きました。ただし、写真に見える通り、蓋にひびが入っていたため、すぐに交換を依頼したところ、迅速に対応してくれて、翌日には新しい商品が届きました。使用感は素晴らしく、濃さを調整することで、ブラックコーヒーやカフェラテなど様々な種類のコーヒーを作ることが可能です。","1,4,6,7",2.5,0,193
　,"　
この製品は素晴らしいと思います。注文した翌日に配送され、迅速でした。しかし、写真にあるように蓋にひびがあったため、すぐに交換手続きを行ったら、交換品もすぐに届きました。使用感も良く、濃さを調整することで、ブラックコーヒーやカフェラテなど幅広いコーヒーを楽しむことができます。","1,4,6,7",2.5,0,193
　,"　
製品自体には満足しています。配送が非常に速く、翌日に商品が届きました。しかし、蓋にひびが入っていたため、すぐに交換をお願いしたところ、迅速に対応してもらい、翌日には新しいものが届きました。使用感も良く、濃さを調整して、ブラックコーヒーやカフェラテなど様々なコーヒーを楽しむことができます。","1,4,6,7",2.5,0,193
　,"　
二台目の購入です。非常においしいコーヒーが楽しめます。トレイの穴からお湯が漏れてしまうのはやはり海外製ならではですね（笑）。それを除けば満足です。",6,2.5,0,196
　,"　
2台目を買い替えました。素晴らしいおいしさのコーヒーが楽しめます。トレイの穴からお湯が漏れ出すのは海外製品特有の現象でしょうか（笑）。それ以外は良い点が多いです。",6,2.5,0,196
　,"　
二台目を購入しましたが、コーヒーの味は素晴らしいです。トレイの穴からお湯が漏れるのは海外製の特徴かもしれませんね（笑）。それ以外はとても良い製品です。",6,2.5,0,196
　,"　
2台目を買い換えましたが、コーヒーが非常に美味しいです。トレイの穴からお湯が漏れるのはやはり海外製品ならではのことかもしれません（笑）。それ以外は満足しています。",6,2.5,0,196
　,"　
中古品が少し安かったので「とても良い」状態のものを選びましたが、届いた箱から大量のコーヒー粉が出てきて、全く清掃されていない本体が現れました。そのため返品を決意し、代わりに新品を購入しようとしたところ、Amazonプライムセールで新品が中古よりも安くなっていました。新品は非常にきれいで便利で、毎日手軽にカフェラテを楽しめています。また、豆を粉状にして使えるので、事前に購入していた豆が無駄にならずに助かりました。","1,2,3,4,6",2.5,0,203
　,"　
中古品を「とても良い」状態で購入したところ、届いた商品は清掃が全くされておらず、箱からコーヒーの粉が大量に出てきました。このため返品し、新品を購入しようとしたら、Amazonプライムセールで新品が中古より安くなっていました。新しい商品は美しく、毎日カフェラテを簡単に作れるので非常に満足しています。また、粉状の豆も使用できるので、事前に購入した豆を無駄にせずに済みました。","1,2,3,4,6",2.5,0,203
　,"　
「とても良い」状態の中古品を安く購入しましたが、商品が届くとコーヒーの粉が箱から大量にこぼれ、清掃されていない本体が出てきました。返品後、Amazonプライムセールで新品が中古よりも安く買えることに気づき、新品を購入しました。新品はとてもきれいで便利で、毎日簡単にカフェラテを楽しんでいます。さらに、水がない場合やゴミが溜まっていることを知らせてくれる機能があり、こまめに清掃することが大切です。","1,2,3,4,6",2.5,0,203
　,"　
中古の「とても良い」状態の商品を購入したものの、届いてみるとコーヒー粉が大量に出てきて、清掃が全くされていない状態でした。そのため返品を決め、Amazonプライムセールで新品が中古より安くなっているのを見つけました。新品はとてもきれいで、毎日簡単にカフェラテを楽しめるので満足しています。また、豆を粉状にして使えるため、事前に購入した豆も無駄にならず助かりました。","1,2,3,4,6",2.5,0,203
　,"　
QOLが向上します。エントリーモデルとしては非常に満足できる商品だと思います。今後、さまざまな種類の豆を試して楽しむ予定です。ちなみに、購入後すぐに一杯を淹れた際に壊れてしまいましたが、メーカーに修理を依頼したところ、1週間ほどで対応してもらえました。壊れるのは早かったですが、修理も迅速でした。その後は快適に使っています。","1,4,6",2.5,0,258
　,"　
この商品はQOLを向上させてくれます。エントリーモデルとしては十分な性能だと思います。これからいろいろな豆を試して楽しむつもりです。購入した直後に一杯淹れたら壊れてしまいましたが、メーカーに修理をお願いしたところ、1週間以内に完了しました。壊れるのは早かったですが、修理もスピーディーでした。その後は快適に使用できています。","1,4,6",2.5,0,258
　,"　
生活の質が向上します。エントリーモデルとしては非常に優れた選択肢だと感じています。今後は様々な豆を試して楽しむつもりです。ちなみに、購入後すぐに一杯淹れた際に故障しましたが、メーカーに修理を依頼したら、1週間ほどで修理が終わりました。壊れたのは早かったですが、修理も迅速でした。その後は快適に使用しています。","1,4,6",2.5,0,258
　,"　
QOLが向上する商品です。エントリーモデルとしては申し分ないと思います。これから多様な豆を試して楽しむ予定です。購入してすぐに一杯淹れた後に壊れてしまいましたが、メーカーに修理を頼んだところ、1週間程度で完了しました。壊れるのは早かったですが、修理も早くて助かりました。その後は快適に使っています。","1,4,6",2.5,0,258
　,"　
いくつかのトラブルがありましたが、付属品が欠けていたり、異なる品番の取扱説明書が含まれていたり、動作しない商品があったため、2度返品して再発送してもらいました。しかし、正常な商品が届いてからは問題なく使えています。","6,7",2.5,0,266
　,"　
いろいろと慌ただしいことがありましたが、付属品が不足していたり、間違った品番の説明書が同梱されていたり、動作不良の商品があったため、2回返品し再度発送してもらいました。その後、正常な商品が届いてからは問題なく利用しています。","6,7",2.5,0,266
　,"　
いくつかの混乱があったものの、付属品が欠けていたり、異なる品番の取説が入っていたり、動作しない製品があったため、2度の返品と再発送を経ましたが、正常品が届いた後は順調に使用しています。","6,7",2.5,0,266
　,"　
ドタバタがありましたが、付属品が入っていなかったり、異なる品番の取扱説明書が入っていたり、動作しない商品があったため、2度返品して再発送してもらいました。しかし、正常な商品が届いた後は問題なく使えています。","6,7",2.5,0,266
　,"　
価格が安く、満足のいく買い物でしたが、メッシュフィルターが1つ欠けていることに気づかずに購入してしまいました。","3,6",2.5,0,287
　,"　
お得な買い物ができて良かったのですが、メッシュフィルターが1つ不足していることに気づかずに買ってしまいました。",6,2.5,0,287
　,"　
全体的には満足できる買い物でしたが、メッシュフィルターが1つないことに気づかず、購入してしまったのが残念です。",6,2.5,0,287
　,"　
いい買い物ができたと思ったのですが、メッシュフィルターが1つ抜けていることに気づかずに購入してしまいました。",6,2.5,0,287
　,"　
使いやすさが抜群です。まず、注文した翌日には商品が届き、購入先には感謝しています。商品はとても清潔で美しく、試してみると水入れが外せるのが便利で、コンパクトなサイズなのでキッチンに置いても邪魔になりません。お手入れも簡単そうで、とても満足しています。","1,6,7",2.5,0,311
　,"　
お手入れが簡単です。購入してから翌日には届き、感謝しています。商品は清掃が行き届いており、非常に綺麗でした。使ってみると、水入れが外せて意外にコンパクトで、キッチンでのスペースにも困らず、入れ方も選べるので大満足です。","1,6,7",2.5,0,311
　,"　
お手入れのしやすさが際立っています。まず、発注した翌日に届いたことに感謝しています。商品はとても清潔で美しく、実際に使ってみると水入れが取り外せることが便利で、キッチンに置いても邪魔にならないコンパクトさが気に入りました。お手入れも楽そうで、満足感があります。","1,6,7",2.5,0,311
　,"　
清掃がしやすいです。まず、次の日には商品が届き、購入先には感謝の気持ちです。商品は清潔で非常に美しく、早速使用してみると、水入れが外せたり、コンパクトなサイズでキッチンでも邪魔にならなく、入れ方も自由に選べることがとても気に入りました。お手入れも楽そうなので、大変満足しています。","1,6,7",2.5,0,311
　,"　
コーヒーはとても美味しいです。中古品として安価だったので購入しましたが、多少の使用感は気になりませんでした。到着してからは毎日使っています。やはり、コーヒーの味は最高です。","3,4,6",2.5,0,317
　,"　
美味しいコーヒーが飲めるので満足しています。安い中古品を見つけて購入しましたが、多少の使用感があっても全く問題ありませんでした。届いてからは毎日使っており、コーヒーの味に感動しています。","3,4,6",2.5,0,317
　,"　
コーヒーが本当に美味しいです。購入の理由は、中古品で安かったからです。若干の使用感はありましたが、全く問題なく日々使用しています。とにかく、コーヒーが美味しいのが一番です。","3,4,6",2.5,0,317
　,"　
こちらのコーヒーは非常に美味しいです。お手頃な中古品を見つけて購入しましたが、多少の使用感は気になりませんでした。届いてから毎日愛用しています。結局、コーヒーの美味しさが際立っています。","3,4,6",2.5,0,317
　,"　
音がかなり大きいですが、味や手軽さ、手入れのしやすさはとても良かったです。中古品だったのか、計量スプーンが付いていなかったのが残念です。","1,6",2.5,0,336
　,"　
手入れのしやすさや味、お手軽さは素晴らしいですが、音がかなり大きいのが気になりました。中古だったためか、計量スプーンが欠けていたのが残念です。","1,6",2.5,0,336
　,"　
お手軽さ、味、手入れのしやすさは非常に良かったものの、音が大きすぎたのが気になりました。中古品だったのか、計量スプーンが入っていなかったのは残念です。","1,6",2.5,0,336
　,"　
音の大きさが気になりましたが、味や使いやすさ、手入れのしやすさは非常に良い印象でした。中古だったためか、計量スプーンが付属していなかったのが残念でした。","1,6",2.5,0,336
　,"　
中古品(ほぼ新品)として「付属品完備」とのことでしたので、お得に良い品を手に入れたと喜んでいましたが、到着後に確認したところ、必要な「粗びき用メッシュフィルター(緑色)」が見当たらず、非常に残念です。",6,2.5,0,339
　,"　
期待していた中古品が「付属品完備」との表記で注文したのですが、到着して開梱した際に「粗びき用メッシュフィルター(緑色)」が全く見つからず、がっかりしました。",6,2.5,0,339
　,"　
付属品がすべて揃っていると思って注文した中古品(ほぼ新品)ですが、届いてみると「粗びき用メッシュフィルター(緑色)」が欠品しており、残念ながら期待外れでした。",6,2.5,0,339
　,"　
製品自体は素晴らしいのですが、説明にあった「付属品完備」が実際には守られておらず、特に「粗びき用メッシュフィルター(緑色)」が欠けていたことにがっかりしています。",6,2.5,0,339
　,"　
中古品ですが、新品に近い状態でとても満足しています。",6,2.5,0,348
　,"　
新古品として購入しましたが、非常に綺麗で、全く問題なく使えています。",6,2.5,0,348
　,"　
丁寧なお礼状に感動しつつ、品質に問題のない美しい製品を手に入れました。",6,2.5,0,348
　,"　
新品を購入するよりも新古品の方が良いと感じており、状態も良好で感謝の手紙にも心が温まりました。",6,2.5,0,348
　,"　
普通に使うことができます。アウトレット品として購入したため、本体はプチプチで包まれていました。少し驚きましたが、使用感は全くなく、満足して使えています。サーモスのポットはさすがに保温性が優れており、6時間は温かさが持続します。","1,6",2.5,0,384
　,"　
問題なく使用可能です。アウトレットで買ったため、本体がプチプチに包まれていて少し驚きましたが、使用感はなく、無難に使えて満足しています。サーモスのポット部分は保温性が高く、6時間は温かいままです。","1,6",2.5,0,384
　,"　
普通に使えています。アウトレット品を購入したので、本体はプチプチに包まれていて少し驚きましたが、使用感は全然なく、満足して使えています。サーモスのポットは高い保温性を持ち、6時間は温かさを保っています。","1,6",2.5,0,384
　,"　
特に問題なく使えます。アウトレット商品だったので、本体がプチプチで包まれていて驚きましたが、使用感はなく、無難に満足しています。サーモスのポットは保温性が優れており、6時間も温かさをキープしています。","1,6",2.5,0,384
　,"　
サイズ感と使いやすさについては非常に満足しています。ただ、注水メモリは光の具合によって見づらいかもしれません。残念ながら、開封後すぐに気づいたのですが、付属品（計量スプーンなど）が欠けていてがっかりしました。これはメーカーの手違いでしょうか？それとも新古品なのでしょうか？","1,6",2.5,0,411
　,"　
この商品のサイズ感と使いやすさには高い評価を与えています。しかし、注水メモリは光の加減によっては見づらい場合があります。開封してすぐに気づいたのですが、付属品（計量スプーンなど）が入っていなかったのが残念でした。購入店からの連絡で、中古品のため付属品がないことが説明され、販売表示にもその旨が記載されていなかったとのことでした。お詫び申し上げます。","1,6",2.5,0,411
　,"　
サイズ感と使いやすさは良好だと思いますが、注水メモリが光の影響で見えづらいことがあります。開封してすぐに気づくべきでしたが、付属品（計量スプーンなど）が欠けていたのが残念でした。これはメーカーのミスか、新古品だからでしょうか？購入店からお知らせをいただき、中古品なので付属品はなく、販売表示にもその記載がなかったとのことでした。申し訳ありません。","1,6",2.5,0,411
　,"　
この商品のサイズ感と使いやすさには非常に満足していますが、注水メモリが光の加減で見えにくいことがあるのが気になります。開封後に気づいたのですが、付属品（計量スプーンなど）が欠けていたのが残念でした。これがメーカーの見落としか新古品の影響なのか疑問です。購入店からの連絡で、付属品はなく、販売表示にもその説明がなかったことをお詫びします。","1,6",2.5,0,411
　,"　
楽しい体験でした。故障についての対応が迅速でした。",6,2.5,0,417
　,"　
とても楽しい時間を過ごしました。故障の処理が早かったのが良かったです。",6,2.5,0,417
　,"　
楽しさを感じました。故障に関するサポートが迅速でした。",6,2.5,0,417
　,"　
楽しいひとときでした。故障の対処が素早く行われました。",6,2.5,0,417
　,"　
使い勝手は良いが、冷蔵庫の奥の穴が黒ずんでしまうのが唯一の不満です。","1,6",2.5,0,494
　,"　
使いやすさは感じるが、冷蔵庫の奥にある穴が黒くなるのが気にかかる点です。","1,6",2.5,0,494
　,"　
便利なのですが、冷蔵庫の奥の穴がなぜか黒くなってしまうのが気に入らないところです。","1,6",2.5,0,494
　,"　
使いやすいとは思うのですが、冷蔵庫の奥の穴が黒くなるのが唯一の気がかりです。","1,6",2.5,0,494
　,"　
とても安価で購入できました。少し安っぽい見た目ですが、吸引力はしっかりしていて、延長管の長さも調整可能で、価格に見合った良い機能を持っています。コードの長さも十分です。ただ、付属の隙間用ブラシノズルがもう少し性能が良ければ嬉しいです。強いて言うなら、箱を開けた際に目につく傷が4箇所あったのが残念です。","1,3,6",2.5,0,715
　,"　
価格がとてもリーズナブルでした。見た目は若干チープに感じますが、しっかりと吸引してくれ、延長管も調整できるため、値段以上の機能性があります。コードの長さも申し分ありません。付属のブラシノズルがもう少し性能が良いと嬉しいのですが、強いて言えば、開封時に目立つ傷が4つあったのが残念でした。","1,3,6",2.5,0,715
　,"　
本当に安かったです。外見は少しチープに見えますが、吸引力はしっかりしており、延長管の調整もできるため、コストパフォーマンスは良好です。コードの長さも十分です。隙間用ブラシノズルの性能がもう少し良ければ満足ですが、強いて言うと、箱から出した時に見える傷が4箇所あって残念でした。","1,3,6",2.5,0,715
　,"　
非常にお手頃な価格でした。少し安っぽい見た目ではありますが、吸引力はしっかりしていて、延長管の長さ調整も可能で、値段に対して良い機能です。コードの長さも足りています。付属の隙間用ブラシノズルがもう少し効果的であれば満足ですが、開封時に目立つ傷が4つあったのが残念です。","1,3,6",2.5,0,715
　,"　
商品に欠陥があり、片方しか作動しなかったのは残念でしたが、メッセージを送ると迅速に対応していただけました。今は新しい商品が届くのを待っています。音についてはまだ試していないのでわかりませんが、風は涼しく感じました。欠陥商品でしたが、迅速な対応のおかげで星は4つにしました。","1,6",2.5,0,48
　,"　
残念なことに、届いた商品の片方が作動しないという問題がありましたが、メッセージを送ったところ迅速に対処してもらえました。今は新しい商品の到着を楽しみにしています。風は涼しく、音についてはまだ試していないので何とも言えませんが、気にならないように思いました。対応が早かったので、星は4つにしました。","1,6",2.5,0,48
　,"　
今回届いた商品は片方が作動しない欠陥がありましたが、迅速に対応してくれたおかげで新しい商品が届くのを待っています。風は涼しく感じましたが、音についてはまだ確認していないため、何とも言えません。欠陥があったため残念でしたが、対応の速さから星は4つにしました。","1,6",2.5,0,48
　,"　
商品が片方だけ作動しないという残念な状況でしたが、すぐに対応してくださったおかげで新しい商品が届くのを待っています。風が涼しいのは確かですが、音についてはまだ試していないので不明です。欠陥商品でしたが、迅速なサポートを受けたため星評価は4にしました。","1,6",2.5,0,48
　,"　
購入時の相性を感じつつ、Amazonで商品を手に入れました。価格に見合った品質だと思います。ヤマト運輸の配達員は、置き配の代わりにインターフォンを鳴らして「ここに置いておきます」と声をかけてくれたので、安心して所定の場所に置いて使えました。以前は配達時に製品が壊れることを心配していました。","1,3,6,7",2.5,0,129
　,"　
Amazonで買い物をした際には、購入する商品の相性を考慮しました。値段に対しての品質には納得しています。ヤマト運輸の配達員がインターフォンを鳴らし「ここに置きますね」と声をかけてくれたおかげで、スムーズに指定の場所に設置できました。以前は配達中の破損が気になっていましたから、安心しました。","1,3,6,7",2.5,0,129
　,"　
商品を購入する際には相性が大切で、私はAmazonで購入しました。価格に対して十分な価値があると思いました。ヤマト運輸の配達員が「ここに置いておきます」とインターフォンを鳴らしてくれたので、問題なく設置できました。以前の経験から、配達時のトラブルが心配だったのですが、今回は大丈夫でした。","1,3,6,7",2.5,0,129
　,"　
購入時に相性を考慮し、Amazonでこの商品を選びました。価格に見合った品質だと思います。ヤマト運輸の方がインターフォンを鳴らして「ここに置いておきます」と声をかけてくれたので、スムーズに設置することができました。過去には配達時の破損が心配でしたが、今回は安心して受け取れました。","1,3,6,7",2.5,0,129
　,"　
冷蔵庫に触れるのが少し怖かったです。ダンボールから取り出した後、本体に触れたら静電気でショックを受けました。ただ、商品の機能は良いと思います。ただし、内部の部品に工場でできたと思われる傷があったり、シールが斜めに貼られていたりします。気にする人にとっては気になる点かもしれませんが、大量生産のため仕方がない部分もあると感じます。","1,6",2.5,0,145
　,"　
この冷蔵庫は触れるのが少し怖い印象があります。ダンボールを開けて本体に触れたら静電気を感じました。機能的には優れた商品だと思いますが、内部の部品には工場での傷が見受けられ、シールも斜めに貼られていることがあります。気になる方にはやや気になるかもしれませんが、大量生産の影響もあるので理解できます。","1,6",2.5,0,145
　,"　
冷蔵庫を触るのが少し怖いと感じました。ダンボールから出した後に本体に触れて静電気を受けたのです。商品の性能に関しては良いと思いますが、内部の部品には工場からの傷が見られたり、シールが斜めに貼られていたりします。気になる人には気になるポイントですが、大量生産だから仕方ない部分もあるでしょう。","1,6",2.5,0,145
　,"　
この冷蔵庫は触れるのが怖いと感じました。ダンボールを開けた後、本体に触れると静電気が走りました。機能については満足していますが、冷蔵庫内部の部品に工場での傷があったり、シールが斜めに貼られていたりします。気になる方には気になるところかもしれませんが、大量生産の影響もあるので理解できる部分もあります。","1,6",2.5,0,145
　,"　
性能に満足しつつ、コストパフォーマンスも良好です。私室用に購入したのですが、付属の氷ストッカーや冷凍室棚は思った以上に役立っています。一人の時間を楽しむために氷を貯めて使っています。扉に小さな縦傷があったのが気になりましたが、性能には影響がなかったので、逆にその傷を愛着として受け入れました。","1,3,4,6",2.5,0,153
　,"　
私室用に購入したこの商品は、コスパが非常に良くて性能にも満足しています。付属品の氷ストッカーや冷凍室棚は期待以上で、氷を作って一人の時間を楽しんでいます。扉に小さな傷があったのは少し気になりましたが、性能には問題がなかったので大丈夫です。むしろ、その傷に愛着を持つことにしました。","1,3,4,6",2.5,0,153
　,"　
性能に満足しつつ、コストパフォーマンスが素晴らしい商品を私室用に購入しました。付属の氷ストッカーや冷凍室棚は、思っていたよりも嬉しいもので、一人の時間を楽しむために氷を貯めています。扉に小さな縦傷があったのが気になったものの、性能には影響がなかったので問題ありません。むしろ、その傷に愛着を感じるようになりました。","1,3,4,6",2.5,0,153
　,"　
価格に対して性能が良く、私室用に購入して満足しています。付属の氷ストッカーと冷凍室棚は期待以上で、一人時間を楽しむために氷を貯めて使用しています。扉に小さな縦傷があったのが少し気になりましたが、性能には影響がなかったので良しとしています。逆にその傷に愛着を持つことにしました。","1,3,4,6",2.5,0,153
　,"　
思っていたよりも、かなりの収納力がありますね。息子の引っ越し用に購入したのですが、キッチンに置くスペースがなかったため、居住空間に置くことにしました。届いた際、しっかりとした梱包で、段ボールや資材の解体に手間取ったものの、傷一つなく美しい状態で、サイズもぴったりでした。大学生の息子は、「これくらいが自分にはちょうどいい」と言っており、価格もお手頃で冷凍庫の容量も予想以上だったため、満足しています。","1,3,4,6",2.5,0,159
　,"　
予想以上にたくさん入ることに驚きました。息子の引っ越しのために注文したのですが、キッチンには設置場所がなく、居住スペースに置くことになりました。商品が届くと、頑丈な梱包で、段ボールや資材の処分が大変でしたが、傷もなく綺麗で、サイズ感もちょうど良かったです。息子は大学生で、「これくらいのサイズがちょうどいい」と言っており、手頃な価格で冷凍庫の容量も予想以上なので、満足しています。","1,3,4,6",2.5,0,159
